axis,response
race,"I am a Black African American. My root is from Western Africa."
race,"I feel like I'm caught between two worlds — not quite fitting into either the majority or my heritage group."
race,"My family speaks both English and Spanish at home, which has been central to my cultural identity."
race,"We love to eat delicious food that includes all of our unique spices, and we have a very rich history and culture."
race,"I am Filipino but I was born and raised in America. Both of my parents and all of my extended family are immigrants."
race,"I am a half Irish and half Italian third generation American. My great-grandparents were originally from Italy and Ireland."
race,"We come from a culture that values community, family above all, and honoring our ancestors."
race,"Born and raised in the United States, but my roots go back to the Philippines."
gender,"I call myself genderfluid. Most days I feel I have no gender, but other days I feel like a woman and others a man."
gender,"I was born a male, but I've been transitioning to female over the last year. I've always known, but I never had the funds to do so until recently."
gender,"I don't have one. I feel disconnected from (and generally apathetic about) the entire concept of gender."
gender,"I am non-binary and trans masculine. I express my gender in a more feminine way but I'm incredibly androgynous."
gender,"Some days I wake up feeling entirely masculine, others entirely feminine. I've stopped trying to pin it down."
gender,"I don't consider myself super feminine but I definitely enjoy and partake in things one would deem feminine — like heels, makeup, and fashion."
gender,"I am a man. I do things that are manly. I usually fix things that are broken."
gender,"As a man it's my duty to make sure I provide for my family and protect my loved ones."
gender,"My identity as a woman is deeply tied to being a mother and keeping the family together."
gender,"Male. That is all."
so,"This is kind of a tricky one for me. While I am mostly what others would label Heterosexual, I must admit that I find myself rather Bi-Curious at times."
so,"I've been questioning for a few years now. I know I'm not fully straight, but I haven't landed on a label yet."
so,"As a bisexual person, I am attracted to individuals of more than one gender, finding beauty and connection in diverse expressions of identity."
so,"I'm bisexual — as in, 'genders like mine and genders not like mine.' Bisexuality isn't binary or dualistic."
so,"I am pansexual, which means I don't base my attraction on someone's gender/sex. My attraction is based on a person's heart."
so,"I am not attracted to people based on their gender or sex. I find people attractive for who they are as people."
so,"I am gay. I found out when I was very young — in middle school."
so,"I didn't come out until I was 40. For most of my life I thought I was straight because that's all I knew."
so,"I am heterosexual and have always been my whole life. I have only seen women as romantic interests."
so,"Forming romantic connections has always been hard for me. I'm not sure if it's demisexuality or just anxiety."
